날짜,종가,전일비,시가,고가,저가,거래량
2026.07.07,7620.0,265.0,7375.0,7665.0,7375.0,13249.0
2026.07.06,7355.0,-55.0,7405.0,7500.0,7245.0,8846.0
2026.07.03,7410.0,-95.0,7510.0,7510.0,7315.0,15614.0
2026.07.02,7505.0,165.0,7390.0,7855.0,7340.0,141099.0
2026.07.01,7340.0,170.0,7290.0,7385.0,7165.0,12951.0
2026.06.30,7170.0,-110.0,7280.0,7340.0,7160.0,11848.0
2026.06.29,7280.0,535.0,6845.0,7340.0,6845.0,15575.0
2026.06.26,6745.0,-125.0,6920.0,6920.0,6660.0,26504.0
2026.06.25,6870.0,5.0,6930.0,7010.0,6870.0,22031.0
2026.06.24,6865.0,95.0,6830.0,6940.0,6655.0,31067.0
2026.06.23,6770.0,-205.0,6975.0,7055.0,6765.0,23319.0
2026.06.22,6975.0,-205.0,7190.0,7215.0,6967.0,19584.0
2026.06.19,7180.0,-110.0,7295.0,7360.0,7070.0,78088.0
2026.06.18,7290.0,-185.0,7465.0,7465.0,7290.0,25764.0
2026.06.17,7475.0,-35.0,7550.0,7600.0,7450.0,28556.0
2026.06.16,7510.0,-50.0,7585.0,7655.0,7475.0,13801.0
2026.06.15,7560.0,75.0,7560.0,7610.0,7490.0,17990.0
2026.06.12,7485.0,-10.0,7590.0,7630.0,7445.0,21795.0
2026.06.11,7495.0,170.0,7290.0,7510.0,7240.0,15909.0
2026.06.10,7325.0,80.0,7250.0,7430.0,7175.0,50716.0
2026.06.09,7245.0,335.0,6985.0,7355.0,6985.0,19809.0
2026.06.08,6910.0,-440.0,7045.0,7150.0,6785.0,36880.0
2026.06.05,7350.0,-70.0,7525.0,7560.0,7260.0,21807.0
2026.06.04,7420.0,185.0,7270.0,7475.0,7255.0,50761.0
2026.06.02,7235.0,-65.0,7305.0,7305.0,7120.0,35276.0
2026.06.01,7300.0,-65.0,7365.0,7455.0,7270.0,78530.0
2026.05.29,7365.0,-85.0,7480.0,7480.0,7275.0,38678.0
2026.05.28,7450.0,-40.0,7540.0,7545.0,7270.0,38953.0
2026.05.27,7490.0,-210.0,7685.0,7685.0,7475.0,64608.0
2026.05.26,7700.0,-130.0,7890.0,7935.0,7680.0,30877.0
2026.05.22,7830.0,130.0,7785.0,7895.0,7735.0,28248.0
2026.05.21,7700.0,170.0,7605.0,7700.0,7590.0,44165.0
2026.05.20,7530.0,-190.0,7760.0,7760.0,7470.0,33221.0
2026.05.19,7720.0,-50.0,7770.0,7825.0,7610.0,18480.0
2026.05.18,7770.0,-280.0,8040.0,8080.0,7655.0,44487.0
2026.05.15,8050.0,-130.0,8250.0,8250.0,7945.0,143784.0
2026.05.14,8180.0,400.0,7815.0,8215.0,7815.0,172370.0
2026.05.13,7780.0,-150.0,8000.0,8000.0,7760.0,29501.0
2026.05.12,7930.0,-145.0,8085.0,8085.0,7780.0,81575.0
2026.05.11,8075.0,-40.0,8180.0,8250.0,8075.0,56885.0
2026.05.08,8115.0,230.0,7980.0,8115.0,7940.0,43417.0
2026.05.07,7885.0,-35.0,7945.0,8015.0,7885.0,38535.0
2026.05.06,7920.0,-150.0,8070.0,8070.0,7900.0,27998.0
2026.05.04,8070.0,60.0,8170.0,8245.0,8055.0,31960.0
2026.04.30,8010.0,-160.0,8120.0,8180.0,8010.0,20487.0
2026.04.29,8170.0,10.0,8275.0,8305.0,8155.0,25921.0
2026.04.28,8260.0,-60.0,8285.0,8350.0,8260.0,100460.0
2026.04.27,8320.0,50.0,8345.0,8380.0,8300.0,35289.0
2026.04.24,8270.0,270.0,8045.0,8275.0,8045.0,63419.0
2026.04.23,8000.0,25.0,8060.0,8065.0,7940.0,32443.0
2026.04.22,7975.0,30.0,7955.0,7985.0,7930.0,31506.0
2026.04.21,7945.0,5.0,7975.0,8020.0,7920.0,18341.0
2026.04.20,7940.0,-60.0,8015.0,8025.0,7940.0,35038.0
2026.04.17,8000.0,45.0,8000.0,8050.0,7975.0,32680.0
2026.04.16,7955.0,185.0,7865.0,7990.0,7840.0,35166.0
2026.04.15,7770.0,75.0,7720.0,7790.0,7710.0,29665.0
2026.04.14,7695.0,5.0,7720.0,7725.0,7640.0,56954.0
2026.04.13,7690.0,35.0,7565.0,7730.0,7565.0,15481.0
2026.04.10,7655.0,150.0,7620.0,7670.0,7600.0,27581.0
2026.04.09,7505.0,55.0,7495.0,7555.0,7495.0,10320.0
2026.04.08,7450.0,185.0,7475.0,7525.0,7390.0,7596.0
2026.04.07,7265.0,-35.0,7310.0,7430.0,7240.0,5710.0
2026.04.06,7300.0,-70.0,7345.0,7385.0,7290.0,9980.0
2026.04.03,7370.0,10.0,7440.0,7465.0,7345.0,6495.0
2026.04.02,7360.0,-305.0,7695.0,7700.0,7350.0,14937.0
2026.04.01,7665.0,290.0,7615.0,7685.0,7510.0,21568.0
2026.03.31,7375.0,-55.0,7395.0,7560.0,7350.0,8443.0
2026.03.30,7430.0,-180.0,7450.0,7485.0,7400.0,26479.0
2026.03.27,7610.0,220.0,7355.0,7645.0,7325.0,20414.0
2026.03.26,7390.0,-160.0,7555.0,7565.0,7390.0,13184.0
2026.03.25,7550.0,80.0,7540.0,7585.0,7510.0,5586.0
2026.03.24,7470.0,175.0,7535.0,7535.0,7350.0,13555.0
2026.03.23,7295.0,-325.0,7470.0,7470.0,7295.0,10641.0
2026.03.20,7620.0,220.0,7495.0,7685.0,7495.0,12640.0
2026.03.19,7400.0,-160.0,7465.0,7490.0,7400.0,25557.0
2026.03.18,7560.0,95.0,7585.0,7605.0,7535.0,19418.0
2026.03.17,7465.0,100.0,7455.0,7525.0,7385.0,25903.0
2026.03.16,7365.0,-25.0,7390.0,7440.0,7330.0,21628.0
2026.03.13,7390.0,-55.0,7315.0,7460.0,7315.0,10461.0
2026.03.12,7445.0,-20.0,7465.0,7470.0,7365.0,33754.0
2026.03.11,7465.0,160.0,7465.0,7640.0,7430.0,12770.0
2026.03.10,7305.0,145.0,7430.0,7430.0,7305.0,17543.0
2026.03.09,7160.0,-255.0,7060.0,7170.0,7040.0,34484.0
2026.03.06,7415.0,10.0,7260.0,7415.0,7235.0,34116.0
2026.03.05,7405.0,440.0,7475.0,7480.0,7245.0,57530.0
2026.03.04,6965.0,-745.0,7515.0,7515.0,6965.0,66695.0
2026.03.03,7710.0,-370.0,7950.0,8005.0,7710.0,85337.0
2026.02.27,8080.0,-65.0,8125.0,8140.0,8045.0,100823.0
2026.02.26,8145.0,-90.0,8225.0,8270.0,8145.0,96581.0
2026.02.25,8235.0,-50.0,8275.0,8275.0,8165.0,54325.0
2026.02.24,8285.0,-60.0,8305.0,8345.0,8255.0,35819.0
2026.02.23,8345.0,120.0,8290.0,8380.0,8270.0,71907.0
2026.02.20,8225.0,-95.0,8285.0,8365.0,8225.0,50711.0
2026.02.19,8320.0,50.0,8270.0,8340.0,8175.0,45885.0
2026.02.13,8270.0,-60.0,8345.0,8345.0,8195.0,38238.0
2026.02.12,8330.0,-30.0,8360.0,8415.0,8305.0,74841.0
2026.02.11,8360.0,0.0,8390.0,8425.0,8310.0,47365.0
2026.02.10,8360.0,145.0,8290.0,8415.0,8225.0,89812.0
2026.02.09,8215.0,345.0,8000.0,8235.0,8000.0,103980.0
2026.02.06,7870.0,-145.0,7865.0,7975.0,7725.0,122864.0
2026.02.05,8015.0,-45.0,7960.0,8190.0,7960.0,63724.0
2026.02.04,8060.0,75.0,8015.0,8155.0,7985.0,66034.0
2026.02.03,7985.0,155.0,7965.0,7985.0,7840.0,24962.0
2026.02.02,7830.0,-285.0,8055.0,8080.0,7775.0,69494.0
2026.01.30,8115.0,20.0,8135.0,8190.0,8035.0,117817.0
2026.01.29,8095.0,160.0,7955.0,8100.0,7865.0,85424.0
2026.01.28,7935.0,180.0,7820.0,7935.0,7820.0,80095.0
2026.01.27,7755.0,5.0,7710.0,7850.0,7710.0,49505.0
2026.01.26,7750.0,5.0,7745.0,7820.0,7710.0,54715.0
2026.01.23,7745.0,125.0,7660.0,7755.0,7635.0,80135.0
2026.01.22,7620.0,185.0,7445.0,7685.0,7390.0,91053.0
2026.01.21,7435.0,-35.0,7450.0,7470.0,7335.0,39105.0
2026.01.20,7470.0,140.0,7350.0,7505.0,7345.0,40155.0
2026.01.19,7330.0,-65.0,7375.0,7377.0,7317.0,67454.0
2026.01.16,7395.0,5.0,7450.0,7460.0,7350.0,115321.0
2026.01.15,7390.0,5.0,7430.0,7440.0,7355.0,31496.0
2026.01.14,7385.0,95.0,7360.0,7430.0,7305.0,64506.0
2026.01.13,7290.0,-20.0,7365.0,7365.0,7250.0,37942.0
2026.01.12,7310.0,0.0,7310.0,7330.0,7255.0,47293.0
2026.01.09,7310.0,75.0,7255.0,7350.0,7255.0,26495.0
2026.01.08,7235.0,-20.0,7250.0,7270.0,7170.0,17699.0
2026.01.07,7255.0,-45.0,7325.0,7325.0,7185.0,63221.0
2026.01.06,7300.0,-70.0,7395.0,7410.0,7295.0,38592.0
2026.01.05,7370.0,-65.0,7490.0,7490.0,7340.0,24961.0
2026.01.02,7435.0,180.0,7365.0,7455.0,7365.0,48337.0
2025.12.30,7255.0,0.0,7255.0,7315.0,7245.0,22952.0
2025.12.29,7255.0,10.0,7255.0,7275.0,7190.0,30135.0
2025.12.26,7245.0,-105.0,7335.0,7340.0,7225.0,15380.0
2025.12.24,7350.0,-5.0,7360.0,7400.0,7335.0,13305.0
2025.12.23,7355.0,-65.0,7460.0,7460.0,7345.0,15564.0
2025.12.22,7420.0,45.0,7480.0,7480.0,7395.0,11002.0
2025.12.19,7375.0,-20.0,7460.0,7460.0,7355.0,8293.0
2025.12.18,7395.0,-65.0,7465.0,7465.0,7365.0,8755.0
2025.12.17,7460.0,20.0,7510.0,7540.0,7430.0,14534.0
2025.12.16,7440.0,10.0,7395.0,7510.0,7360.0,30188.0
2025.12.15,7430.0,-5.0,7365.0,7475.0,7365.0,12979.0
2025.12.12,7435.0,0.0,7455.0,7510.0,7400.0,11764.0
2025.12.11,7435.0,60.0,7435.0,7495.0,7385.0,22355.0
